name,                                                                                 tag,           code,       description
skein1024-1008,                                                                       multihash,     0x00b3de,
skein1024-1016,                                                                       multihash,     0x00b3df,
skein1024-1024,                                                                       multihash,     0x00b3e0,
holochain-adr-v0,                                                                     holochain,     0x807124,   Holochain v0 address    + 8 R-S (63 x Base-32)
holochain-adr-v1,                                                                     holochain,     0x817124,   Holochain v1 address    + 8 R-S (63 x Base-32)
holochain-key-v0,                                                                     holochain,     0x947124,   Holochain v0 public key + 8 R-S (63 x Base-32)
holochain-key-v1,                                                                     holochain,     0x957124,   Holochain v1 public key + 8 R-S (63 x Base-32)
holochain-sig-v0,                                                                     holochain,     0xa27124,   Holochain v0 signature  + 8 R-S (63 x Base-32)
holochain-sig-v1,                                                                     holochain,     0xa37124,   Holochain v1 signature  + 8 R-S (63 x Base-32)
application,                                                                          mimetype,      0x00200000, MIME types in the Application class
application/1d-interleaved-parityfec,                                                 mimetype,      0x00200001,
application/3gpdash-qoe-report+xml,                                                   mimetype,      0x00200002,
application/3gpp-ims+xml,                                                             mimetype,      0x00200003,
application/A2L,                                                                      mimetype,      0x00200004,
application/activemessage,                                                            mimetype,      0x00200005,
application/activity+json,                                                            mimetype,      0x00200006,
application/alto-costmap+json,                                                        mimetype,      0x00200007,
application/alto-costmapfilter+json,                                                  mimetype,      0x00200008,
application/alto-directory+json,                                                      mimetype,      0x00200009,
application/alto-endpointprop+json,                                                   mimetype,      0x0020000a,
application/alto-endpointpropparams+json,                                             mimetype,      0x0020000b,
application/alto-endpointcost+json,                                                   mimetype,      0x0020000c,
application/alto-endpointcostparams+json,                                             mimetype,      0x0020000d,
application/alto-error+json,                                                          mimetype,      0x0020000e,
application/alto-networkmapfilter+json,                                               mimetype,      0x0020000f,
application/alto-networkmap+json,                                                     mimetype,      0x00200010,
application/AML,                                                                      mimetype,      0x00200011,
application/andrew-inset,                                                             mimetype,      0x00200012,
application/applefile,                                                                mimetype,      0x00200013,
application/ATF,                                                                      mimetype,      0x00200014,
application/ATFX,                                                                     mimetype,      0x00200015,
application/atom+xml,                                                                 mimetype,      0x00200016,
application/atomcat+xml,                                                              mimetype,      0x00200017,
application/atomdeleted+xml,                                                          mimetype,      0x00200018,
application/atomicmail,                                                               mimetype,      0x00200019,
application/atomsvc+xml,                                                              mimetype,      0x0020001a,
application/atsc-dwd+xml,                                                             mimetype,      0x0020001b,
application/atsc-held+xml,                                                            mimetype,      0x0020001c,
application/atsc-rdt+json,                                                            mimetype,      0x0020001d,
application/atsc-rsat+xml,                                                            mimetype,      0x0020001e,
application/ATXML,                                                                    mimetype,      0x0020001f,
application/auth-policy+xml,                                                          mimetype,      0x00200020,
application/bacnet-xdd+zip,                                                           mimetype,      0x00200021,
application/batch-SMTP,                                                               mimetype,      0x00200022,
application/beep+xml,                                                                 mimetype,      0x00200023,
application/calendar+json,                                                            mimetype,      0x00200024,
application/calendar+xml,                                                             mimetype,      0x00200025,
application/call-completion,                                                          mimetype,      0x00200026,
application/CALS-1840,                                                                mimetype,      0x00200027,
application/cbor,                                                                     mimetype,      0x00200028,
application/cbor-seq,                                                                 mimetype,      0x00200029,
application/cccex,                                                                    mimetype,      0x0020002a,
application/ccmp+xml,                                                                 mimetype,      0x0020002b,
application/ccxml+xml,                                                                mimetype,      0x0020002c,
application/CDFX+XML,                                                                 mimetype,      0x0020002d,
application/cdmi-capability,                                                          mimetype,      0x0020002e,
application/cdmi-container,                                                           mimetype,      0x0020002f,
application/cdmi-domain,                                                              mimetype,      0x00200030,
application/cdmi-object,                                                              mimetype,      0x00200031,
application/cdmi-queue,                                                               mimetype,      0x00200032,
application/cdni,                                                                     mimetype,      0x00200033,
application/CEA,                                                                      mimetype,      0x00200034,
application/cea-2018+xml,                                                             mimetype,      0x00200035,
application/cellml+xml,                                                               mimetype,      0x00200036,
application/cfw,                                                                      mimetype,      0x00200037,
application/clue_info+xml,                                                            mimetype,      0x00200038,
application/clue+xml,                                                                 mimetype,      0x00200039,
application/cms,                                                                      mimetype,      0x0020003a,
application/cnrp+xml,                                                                 mimetype,      0x0020003b,
application/coap-group+json,                                                          mimetype,      0x0020003c,
application/coap-payload,                                                             mimetype,      0x0020003d,
application/commonground,                                                             mimetype,      0x0020003e,
application/conference-info+xml,                                                      mimetype,      0x0020003f,
application/cpl+xml,                                                                  mimetype,      0x00200040,
application/cose,                                                                     mimetype,      0x00200041,
application/cose-key,                                                                 mimetype,      0x00200042,
application/cose-key-set,                                                             mimetype,      0x00200043,
application/csrattrs,                                                                 mimetype,      0x00200044,
application/csta+xml,                                                                 mimetype,      0x00200045,
application/CSTAdata+xml,                                                             mimetype,      0x00200046,
application/csvm+json,                                                                mimetype,      0x00200047,
application/cwt,                                                                      mimetype,      0x00200048,
application/cybercash,                                                                mimetype,      0x00200049,
application/dash+xml,                                                                 mimetype,      0x0020004a,
application/dashdelta,                                                                mimetype,      0x0020004b,
application/davmount+xml,                                                             mimetype,      0x0020004c,
application/dca-rft,                                                                  mimetype,      0x0020004d,
application/DCD,                                                                      mimetype,      0x0020004e,
application/dec-dx,                                                                   mimetype,      0x0020004f,
application/dialog-info+xml,                                                          mimetype,      0x00200050,
application/dicom,                                                                    mimetype,      0x00200051,
application/dicom+json,                                                               mimetype,      0x00200052,
application/dicom+xml,                                                                mimetype,      0x00200053,
application/DII,                                                                      mimetype,      0x00200054,
application/DIT,                                                                      mimetype,      0x00200055,
application/dns,                                                                      mimetype,      0x00200056,
application/dns+json,                                                                 mimetype,      0x00200057,
application/dns-message,                                                              mimetype,      0x00200058,
application/dots+cbor,                                                                mimetype,      0x00200059,
application/dskpp+xml,                                                                mimetype,      0x0020005a,
application/dssc+der,                                                                 mimetype,      0x0020005b,
application/dssc+xml,                                                                 mimetype,      0x0020005c,
application/dvcs,                                                                     mimetype,      0x0020005d,
application/ecmascript,                                                               mimetype,      0x0020005e,
application/EDI-consent,                                                              mimetype,      0x0020005f,
application/EDIFACT,                                                                  mimetype,      0x00200060,
application/EDI-X12,                                                                  mimetype,      0x00200061,
application/efi,                                                                      mimetype,      0x00200062,
application/EmergencyCallData.Comment+xml,                                            mimetype,      0x00200063,
application/EmergencyCallData.Control+xml,                                            mimetype,      0x00200064,
application/EmergencyCallData.DeviceInfo+xml,                                         mimetype,      0x00200065,
application/EmergencyCallData.eCall.MSD,                                              mimetype,      0x00200066,
application/EmergencyCallData.ProviderInfo+xml,                                       mimetype,      0x00200067,
application/EmergencyCallData.ServiceInfo+xml,                                        mimetype,      0x00200068,
application/EmergencyCallData.SubscriberInfo+xml,                                     mimetype,      0x00200069,
application/EmergencyCallData.VEDS+xml,                                               mimetype,      0x0020006a,
application/emotionml+xml,                                                            mimetype,      0x0020006b,
application/encaprtp,                                                                 mimetype,      0x0020006c,
application/epp+xml,                                                                  mimetype,      0x0020006d,
application/epub+zip,                                                                 mimetype,      0x0020006e,
application/eshop,                                                                    mimetype,      0x0020006f,
application/example,                                                                  mimetype,      0x00200070,
application/expect-ct-report+json,                                                    mimetype,      0x00200071,
application/fastinfoset,                                                              mimetype,      0x00200072,
application/fastsoap,                                                                 mimetype,      0x00200073,
application/fdt+xml,                                                                  mimetype,      0x00200074,
application/fhir+json,                                                                mimetype,      0x00200075,
application/fhir+xml,                                                                 mimetype,      0x00200076,
application/fits,                                                                     mimetype,      0x00200077,
application/flexfec,                                                                  mimetype,      0x00200078,
application/font-sfnt,                                                                mimetype,      0x00200079,
application/font-tdpfr,                                                               mimetype,      0x0020007a,
application/font-woff,                                                                mimetype,      0x0020007b,
application/framework-attributes+xml,                                                 mimetype,      0x0020007c,
application/geo+json,                                                                 mimetype,      0x0020007d,
application/geo+json-seq,                                                             mimetype,      0x0020007e,
application/geopackage+sqlite3,                                                       mimetype,      0x0020007f,
application/geoxacml+xml,                                                             mimetype,      0x00200080,
application/gltf-buffer,                                                              mimetype,      0x00200081,
application/gml+xml,                                                                  mimetype,      0x00200082,
application/gzip,                                                                     mimetype,      0x00200083,
application/H224,                                                                     mimetype,      0x00200084,
application/held+xml,                                                                 mimetype,      0x00200085,
application/http,                                                                     mimetype,      0x00200086,
application/hyperstudio,                                                              mimetype,      0x00200087,
application/ibe-key-request+xml,                                                      mimetype,      0x00200088,
application/ibe-pkg-reply+xml,                                                        mimetype,      0x00200089,
application/ibe-pp-data,                                                              mimetype,      0x0020008a,
application/iges,                                                                     mimetype,      0x0020008b,
application/im-iscomposing+xml,                                                       mimetype,      0x0020008c,
application/index,                                                                    mimetype,      0x0020008d,
application/index.cmd,                                                                mimetype,      0x0020008e,
application/index.obj,                                                                mimetype,      0x0020008f,
application/index.response,                                                           mimetype,      0x00200090,
application/index.vnd,                                                                mimetype,      0x00200091,
application/inkml+xml,                                                                mimetype,      0x00200092,
application/IOTP,                                                                     mimetype,      0x00200093,
application/ipfix,                                                                    mimetype,      0x00200094,
application/ipp,                                                                      mimetype,      0x00200095,
application/ISUP,                                                                     mimetype,      0x00200096,
application/its+xml,                                                                  mimetype,      0x00200097,
application/javascript,                                                               mimetype,      0x00200098,
application/jf2feed+json,                                                             mimetype,      0x00200099,
application/jose,                                                                     mimetype,      0x0020009a,
application/jose+json,                                                                mimetype,      0x0020009b,
application/jrd+json,                                                                 mimetype,      0x0020009c,
application/json,                                                                     mimetype,      0x0020009d,
application/json-patch+json,                                                          mimetype,      0x0020009e,
application/json-seq,                                                                 mimetype,      0x0020009f,
application/jwk+json,                                                                 mimetype,      0x002000a0,
application/jwk-set+json,                                                             mimetype,      0x002000a1,
application/jwt,                                                                      mimetype,      0x002000a2,
application/kpml-request+xml,                                                         mimetype,      0x002000a3,
application/kpml-response+xml,                                                        mimetype,      0x002000a4,
application/ld+json,                                                                  mimetype,      0x002000a5,
application/lgr+xml,                                                                  mimetype,      0x002000a6,
application/link-format,                                                              mimetype,      0x002000a7,
application/load-control+xml,                                                         mimetype,      0x002000a8,
application/lost+xml,                                                                 mimetype,      0x002000a9,
application/lostsync+xml,                                                             mimetype,      0x002000aa,
application/LXF,                                                                      mimetype,      0x002000ab,
application/mac-binhex40,                                                             mimetype,      0x002000ac,
application/macwriteii,                                                               mimetype,      0x002000ad,
application/mads+xml,                                                                 mimetype,      0x002000ae,
application/marc,                                                                     mimetype,      0x002000af,
application/marcxml+xml,                                                              mimetype,      0x002000b0,
application/mathematica,                                                              mimetype,      0x002000b1,
application/mbms-associated-procedure-description+xml,                                mimetype,      0x002000b2,
application/mbms-deregister+xml,                                                      mimetype,      0x002000b3,
application/mbms-envelope+xml,                                                        mimetype,      0x002000b4,
application/mbms-msk-response+xml,                                                    mimetype,      0x002000b5,
application/mbms-msk+xml,                                                             mimetype,      0x002000b6,
application/mbms-protection-description+xml,                                          mimetype,      0x002000b7,
application/mbms-reception-report+xml,                                                mimetype,      0x002000b8,
application/mbms-register-response+xml,                                               mimetype,      0x002000b9,
application/mbms-register+xml,                                                        mimetype,      0x002000ba,
application/mbms-schedule+xml,                                                        mimetype,      0x002000bb,
application/mbms-user-service-description+xml,                                        mimetype,      0x002000bc,
application/mbox,                                                                     mimetype,      0x002000bd,
application/media_control+xml,                                                        mimetype,      0x002000be,
application/media-policy-dataset+xml,                                                 mimetype,      0x002000bf,
application/mediaservercontrol+xml,                                                   mimetype,      0x002000c0,
application/merge-patch+json,                                                         mimetype,      0x002000c1,
application/metalink4+xml,                                                            mimetype,      0x002000c2,
application/mets+xml,                                                                 mimetype,      0x002000c3,
application/MF4,                                                                      mimetype,      0x002000c4,
application/mikey,                                                                    mimetype,      0x002000c5,
application/mipc,                                                                     mimetype,      0x002000c6,
application/mmt-aei+xml,                                                              mimetype,      0x002000c7,
application/mmt-usd+xml,                                                              mimetype,      0x002000c8,
application/mods+xml,                                                                 mimetype,      0x002000c9,
application/moss-keys,                                                                mimetype,      0x002000ca,
application/moss-signature,                                                           mimetype,      0x002000cb,
application/mosskey-data,                                                             mimetype,      0x002000cc,
application/mosskey-request,                                                          mimetype,      0x002000cd,
application/mp21,                                                                     mimetype,      0x002000ce,
application/mp4,                                                                      mimetype,      0x002000cf,
application/mpeg4-generic,                                                            mimetype,      0x002000d0,
application/mpeg4-iod,                                                                mimetype,      0x002000d1,
application/mpeg4-iod-xmt,                                                            mimetype,      0x002000d2,
application/mrb-consumer+xml,                                                         mimetype,      0x002000d3,
application/mrb-publish+xml,                                                          mimetype,      0x002000d4,
application/msc-ivr+xml,                                                              mimetype,      0x002000d5,
application/msc-mixer+xml,                                                            mimetype,      0x002000d6,
application/msword,                                                                   mimetype,      0x002000d7,
application/mud+json,                                                                 mimetype,      0x002000d8,
application/multipart-core,                                                           mimetype,      0x002000d9,
application/mxf,                                                                      mimetype,      0x002000da,
application/n-quads,                                                                  mimetype,      0x002000db,
application/n-triples,                                                                mimetype,      0x002000dc,
application/nasdata,                                                                  mimetype,      0x002000dd,
application/news-checkgroups,                                                         mimetype,      0x002000de,
application/news-groupinfo,                                                           mimetype,      0x002000df,
application/news-transmission,                                                        mimetype,      0x002000e0,
application/nlsml+xml,                                                                mimetype,      0x002000e1,
application/node,                                                                     mimetype,      0x002000e2,
application/nss,                                                                      mimetype,      0x002000e3,
application/ocsp-request,                                                             mimetype,      0x002000e4,
application/ocsp-response,                                                            mimetype,      0x002000e5,
application/octet-stream,                                                             mimetype,      0x002000e6,
application/ODA,                                                                      mimetype,      0x002000e7,
application/odm+xml,                                                                  mimetype,      0x002000e8,
application/ODX,                                                                      mimetype,      0x002000e9,
application/oebps-package+xml,                                                        mimetype,      0x002000ea,
application/ogg,                                                                      mimetype,      0x002000eb,
application/oscore,                                                                   mimetype,      0x002000ec,
application/oxps,                                                                     mimetype,      0x002000ed,
application/p2p-overlay+xml,                                                          mimetype,      0x002000ee,
application/passport,                                                                 mimetype,      0x002000ef,
application/patch-ops-error+xml,                                                      mimetype,      0x002000f0,
application/pdf,                                                                      mimetype,      0x002000f1,
application/PDX,                                                                      mimetype,      0x002000f2,
application/pem-certificate-chain,                                                    mimetype,      0x002000f3,
application/pgp-encrypted,                                                            mimetype,      0x002000f4,
application/pgp-signature,                                                            mimetype,      0x002000f5,
application/pidf-diff+xml,                                                            mimetype,      0x002000f6,
application/pidf+xml,                                                                 mimetype,      0x002000f7,
application/pkcs10,                                                                   mimetype,      0x002000f8,
application/pkcs7-mime,                                                               mimetype,      0x002000f9,
application/pkcs7-signature,                                                          mimetype,      0x002000fa,
application/pkcs8,                                                                    mimetype,      0x002000fb,
application/pkcs8-encrypted,                                                          mimetype,      0x002000fc,
application/pkcs12,                                                                   mimetype,      0x002000fd,
application/pkix-attr-cert,                                                           mimetype,      0x002000fe,
application/pkix-cert,                                                                mimetype,      0x002000ff,
application/pkix-crl,                                                                 mimetype,      0x00200100,
application/pkix-pkipath,                                                             mimetype,      0x00200101,
application/pkixcmp,                                                                  mimetype,      0x00200102,
application/pls+xml,                                                                  mimetype,      0x00200103,
application/poc-settings+xml,                                                         mimetype,      0x00200104,
application/postscript,                                                               mimetype,      0x00200105,
application/ppsp-tracker+json,                                                        mimetype,      0x00200106,
application/problem+json,                                                             mimetype,      0x00200107,
application/problem+xml,                                                              mimetype,      0x00200108,
application/provenance+xml,                                                           mimetype,      0x00200109,
application/prs.alvestrand.titrax-sheet,                                              mimetype,      0x0020010a,
application/prs.cww,                                                                  mimetype,      0x0020010b,
application/prs.hpub+zip,                                                             mimetype,      0x0020010c,
application/prs.nprend,                                                               mimetype,      0x0020010d,
application/prs.plucker,                                                              mimetype,      0x0020010e,
application/prs.rdf-xml-crypt,                                                        mimetype,      0x0020010f,
application/prs.xsf+xml,                                                              mimetype,      0x00200110,
application/pskc+xml,                                                                 mimetype,      0x00200111,
application/rdf+xml,                                                                  mimetype,      0x00200112,
application/route-apd+xml,                                                            mimetype,      0x00200113,
application/route-s-tsid+xml,                                                         mimetype,      0x00200114,
application/route-usd+xml,                                                            mimetype,      0x00200115,
application/QSIG,                                                                     mimetype,      0x00200116,
application/raptorfec,                                                                mimetype,      0x00200117,
application/rdap+json,                                                                mimetype,      0x00200118,
application/reginfo+xml,                                                              mimetype,      0x00200119,
application/relax-ng-compact-syntax,                                                  mimetype,      0x0020011a,
application/remote-printing,                                                          mimetype,      0x0020011b,
application/reputon+json,                                                             mimetype,      0x0020011c,
application/resource-lists-diff+xml,                                                  mimetype,      0x0020011d,
application/resource-lists+xml,                                                       mimetype,      0x0020011e,
application/rfc+xml,                                                                  mimetype,      0x0020011f,
application/riscos,                                                                   mimetype,      0x00200120,
application/rlmi+xml,                                                                 mimetype,      0x00200121,
application/rls-services+xml,                                                         mimetype,      0x00200122,
application/rpki-ghostbusters,                                                        mimetype,      0x00200123,
application/rpki-manifest,                                                            mimetype,      0x00200124,
application/rpki-publication,                                                         mimetype,      0x00200125,
application/rpki-roa,                                                                 mimetype,      0x00200126,
application/rpki-updown,                                                              mimetype,      0x00200127,
application/rtf,                                                                      mimetype,      0x00200128,
application/rtploopback,                                                              mimetype,      0x00200129,
application/rtx,                                                                      mimetype,      0x0020012a,
application/samlassertion+xml,                                                        mimetype,      0x0020012b,
application/samlmetadata+xml,                                                         mimetype,      0x0020012c,
application/sbml+xml,                                                                 mimetype,      0x0020012d,
application/scaip+xml,                                                                mimetype,      0x0020012e,
application/scim+json,                                                                mimetype,      0x0020012f,
application/scvp-cv-request,                                                          mimetype,      0x00200130,
application/scvp-cv-response,                                                         mimetype,      0x00200131,
application/scvp-vp-request,                                                          mimetype,      0x00200132,
application/scvp-vp-response,                                                         mimetype,      0x00200133,
application/sdp,                                                                      mimetype,      0x00200134,
application/secevent+jwt,                                                             mimetype,      0x00200135,
application/senml-exi,                                                                mimetype,      0x00200136,
application/senml+cbor,                                                               mimetype,      0x00200137,
application/senml+json,                                                               mimetype,      0x00200138,
application/senml+xml,                                                                mimetype,      0x00200139,
application/sensml-exi,                                                               mimetype,      0x0020013a,
application/sensml+cbor,                                                              mimetype,      0x0020013b,
application/sensml+json,                                                              mimetype,      0x0020013c,
application/sensml+xml,                                                               mimetype,      0x0020013d,
application/sep-exi,                                                                  mimetype,      0x0020013e,
application/sep+xml,                                                                  mimetype,      0x0020013f,
application/session-info,                                                             mimetype,      0x00200140,
application/set-payment,                                                              mimetype,      0x00200141,
application/set-payment-initiation,                                                   mimetype,      0x00200142,
application/set-registration,                                                         mimetype,      0x00200143,
application/set-registration-initiation,                                              mimetype,      0x00200144,
application/sgml,                                                                     mimetype,      0x00200145,
application/sgml-open-catalog,                                                        mimetype,      0x00200146,
application/shf+xml,                                                                  mimetype,      0x00200147,
application/sieve,                                                                    mimetype,      0x00200148,
application/simple-filter+xml,                                                        mimetype,      0x00200149,
application/simple-message-summary,                                                   mimetype,      0x0020014a,
application/simpleSymbolContainer,                                                    mimetype,      0x0020014b,
application/sipc,                                                                     mimetype,      0x0020014c,
application/slate,                                                                    mimetype,      0x0020014d,
application/smil,                                                                     mimetype,      0x0020014e,
application/smil+xml,                                                                 mimetype,      0x0020014f,
application/smpte336m,                                                                mimetype,      0x00200150,
application/soap+fastinfoset,                                                         mimetype,      0x00200151,
application/soap+xml,                                                                 mimetype,      0x00200152,
application/spirits-event+xml,                                                        mimetype,      0x00200153,
application/sql,                                                                      mimetype,      0x00200154,
application/srgs,                                                                     mimetype,      0x00200155,
application/srgs+xml,                                                                 mimetype,      0x00200156,
application/sru+xml,                                                                  mimetype,      0x00200157,
application/ssml+xml,                                                                 mimetype,      0x00200158,
application/stix+json,                                                                mimetype,      0x00200159,
application/swid+xml,                                                                 mimetype,      0x0020015a,
application/tamp-apex-update,                                                         mimetype,      0x0020015b,
application/tamp-apex-update-confirm,                                                 mimetype,      0x0020015c,
application/tamp-community-update,                                                    mimetype,      0x0020015d,
application/tamp-community-update-confirm,                                            mimetype,      0x0020015e,
application/tamp-error,                                                               mimetype,      0x0020015f,
application/tamp-sequence-adjust,                                                     mimetype,      0x00200160,
application/tamp-sequence-adjust-confirm,                                             mimetype,      0x00200161,
application/tamp-status-query,                                                        mimetype,      0x00200162,
application/tamp-status-response,                                                     mimetype,      0x00200163,
application/tamp-update,                                                              mimetype,      0x00200164,
application/tamp-update-confirm,                                                      mimetype,      0x00200165,
application/taxii+json,                                                               mimetype,      0x00200166,
application/tei+xml,                                                                  mimetype,      0x00200167,
application/TETRA_ISI,                                                                mimetype,      0x00200168,
application/thraud+xml,                                                               mimetype,      0x00200169,
application/timestamp-query,                                                          mimetype,      0x0020016a,
application/timestamp-reply,                                                          mimetype,      0x0020016b,
application/timestamped-data,                                                         mimetype,      0x0020016c,
application/tlsrpt+gzip,                                                              mimetype,      0x0020016d,
application/tlsrpt+json,                                                              mimetype,      0x0020016e,
application/tnauthlist,                                                               mimetype,      0x0020016f,
application/trickle-ice-sdpfrag,                                                      mimetype,      0x00200170,
application/trig,                                                                     mimetype,      0x00200171,
application/ttml+xml,                                                                 mimetype,      0x00200172,
application/tve-trigger,                                                              mimetype,      0x00200173,
application/tzif,                                                                     mimetype,      0x00200174,
application/tzif-leap,                                                                mimetype,      0x00200175,
application/ulpfec,                                                                   mimetype,      0x00200176,
application/urc-grpsheet+xml,                                                         mimetype,      0x00200177,
application/urc-ressheet+xml,                                                         mimetype,      0x00200178,
application/urc-targetdesc+xml,                                                       mimetype,      0x00200179,
application/urc-uisocketdesc+xml,                                                     mimetype,      0x0020017a,
application/vcard+json,                                                               mimetype,      0x0020017b,
application/vcard+xml,                                                                mimetype,      0x0020017c,
application/vemmi,                                                                    mimetype,      0x0020017d,
application/vnd.1000minds.decision-model+xml,                                         mimetype,      0x0020017e,
application/vnd.3gpp.access-transfer-events+xml,                                      mimetype,      0x0020017f,
application/vnd.3gpp.bsf+xml,                                                         mimetype,      0x00200180,
application/vnd.3gpp.GMOP+xml,                                                        mimetype,      0x00200181,
application/vnd.3gpp.mc-signalling-ear,                                               mimetype,      0x00200182,
